lat,lon,usda_zone,sunshine_1,sunshine_2,sunshine_3,sunshine_4,sunshine_5,sunshine_6,sunshine_7,sunshine_8,sunshine_9,sunshine_10,sunshine_11,sunshine_12
35.12608695652174,39.83259259259259,9.5,6.895199971601549,8.345916737253935,9.555524951960527,10.93350602476987,12.070192913573909,13.027561631361811,13.074227081545779,12.444328609532027,11.157148250815048,9.323474853561796,7.716295294998795,6.333113576435203
35.12608695652174,39.58407407407407,9.5,6.90518811902473,8.368281037778452,9.56365463324213,10.958595247060725,12.108088378712456,13.07364813425165,13.11402240026393,12.488992795277266,11.18710057554574,9.358496962802487,7.742436454080558,6.364000876845699
35.12608695652174,39.335555555555544,9.5,6.911836010745321,8.368505155056775,9.565070360305667,10.975288742002528,12.133912326922083,13.111070650565287,13.143073371662803,12.5244771595636,11.208191978472723,9.385277109768884,7.76033873455447,6.386401792144906
35.12608695652174,39.087037037037035,9.5,6.927358631321562,8.36148870333498,9.570849520613395,10.996688627000841,12.159977594518843,13.15277341633893,13.177265358454273,12.564077453129254,11.234214180165694,9.417244530615907,7.786100090906384,6.413846262667439
35.12608695652174,38.83851851851851,9.5,6.979362019826739,8.379750076755908,9.607984885511689,11.048124701983328,12.207761606957854,13.216273442176966,13.235982334959534,12.626370322447524,11.285676400296147,9.480239468188822,7.8465255479314555,6.46866475331896
35.12608695652174,38.58999999999999,9.5,6.902633997720892,8.272227720098853,9.484588904358588,10.942856859742879,12.110271348340918,13.160732307017629,13.189381383658477,12.582287192275189,11.227493592558561,9.413410149030847,7.751371813040651,6.406576013038211
35.12608695652174,38.34148148148148,9.5,6.862518309605184,8.199673238543582,9.42228735859972,10.886712954119231,12.059124120305325,13.145750054072183,13.184572181033593,12.575213161897445,11.207087837815761,9.390356686302296,7.7129359871971275,6.37742687397672
35.12608695652174,38.09296296296296,9.0,6.804391118978588,8.11093116585229,9.349492870634288,10.825418958366399,12.00582443428792,13.132971398285871,13.184834576904294,12.5714298762262,11.186007244657445,9.36150002767435,7.670223435323605,6.329008974817685
35.12608695652174,37.844444444444434,9.0,6.686466609874097,7.969196981177588,9.217344543090645,10.731289716651494,11.919038216072803,13.089461048117448,13.15899344282318,12.541030818944009,11.132207025989032,9.29319676796279,7.581501096797222,6.222327445270197
35.12608695652174,37.595925925925926,9.0,6.497054974655457,7.793196101599673,9.079585859591056,10.618408384527767,11.808880076524252,13.019893885955856,13.10527309456473,12.474093788007416,11.039666140661575,9.186962680575075,7.472183139878898,6.055156745852843
35.12608695652174,37.3474074074074,9.5,6.299423178918719,7.5940320968413095,8.93525495382914,10.486022976807122,11.687162183574667,12.949432590444788,13.05352973953314,12.401244837838888,10.92005605033287,9.037502794283375,7.333397330715993,5.893761823781916
35.12608695652174,37.09888888888888,9.5,6.123503045248834,7.41432072788368,8.810373175881574,10.36040687636397,11.574822461290681,12.884727968288699,13.005862544694002,12.327536439378253,10.796074180703654,8.89156754844591,7.210517996546332,5.747392469252889
35.12608695652174,36.85037037037037,9.5,6.026046300905283,7.308016602075605,8.736368392563739,10.276171570035697,11.499855345473117,12.834900731586455,12.96685996693971,12.25995553605006,10.698112968514744,8.805893863707883,7.170181052883325,5.6583108339230055
35.12608695652174,36.60185185185185,9.5,5.851828914771289,7.08409368271935,8.49893073933651,10.037976660245635,11.266778263611418,12.544176308641093,12.627951404017335,11.87820059699693,10.358758812165835,8.53961172769424,6.966153340996618,5.505089312428099
35.12608695652174,36.353333333333325,9.5,5.781880350447235,6.951841239828004,8.295811329325465,9.808730662310808,11.045073704591763,12.201462446896828,12.214636257527399,11.428285126697673,10.0249037395644,8.36625371104998,6.8848460984258155,5.474202012017603
35.12608695652174,36.104814814814816,9.5,5.760593831602946,6.873069131206873,8.134921672150004,9.61118905138661,10.854665773676212,11.861886330888236,11.797546220178035,10.981743205093192,9.717663861680093,8.243158313368083,6.859560284550053,5.492949901172687
35.12608695652174,35.85629629629629,10.5,5.72463715327318,6.793009045695787,7.991442750616422,9.429581747292866,10.679607974811365,11.538933092134553,11.397245353539615,10.56158149202956,9.432445026828352,8.118588085071876,6.819001350925832,5.487593361414092
