Sweet corn  ;;moist;2;11;2;0.8;full sun;8;10;vegetable, fruit
Sweet pea  ;;moist;2;11;2;0.9;full sun, partial shade;6;8;vegetable, fruit
Sweet potato  ;;moist;10;12;3;3;full sun;8;10;vegetable
Swiss chard  ;;moist;4;8;0.9;;tolerates partial shade, tolerates partial sun;6;8;vegetable
Szechuan pepper  ;;moist;5;8;4;6;tolerates partial shade, tolerates partial sun;4;10;fruit, vegetable
Tomatillo  ;;moist;6;9;0.8;1.2;full sun;8;10;vegetable, fruit
Tomato  ;;moist, dry;10;12;2;1.5;full sun;8;10;vegetable, fruit
Turnip  ;;moist;7;11;0.5;0.3;tolerates partial shade, tolerates partial sun;6;8;vegetable
Watermelon  ;;moist, dry;8;11;0.5;2;full sun;8;10;fruit
White cabbage  ;maritime;moist;7;11;0.8;1;full sun;8;10;vegetable
Wild garlic  ;;moist;4;8;0.3;0.3;tolerates partial shade, full shade;3;6;vegetable, fruit
Winter squash  ;;moist;2;11;0.6;5;full sun;8;10;vegetable, fruit
Zucchini  ;;moist;2;11;0.6;3;full sun;6;;vegetable, fruit
https://ponicslife.com/how-much-sun-do-vegetables-need-a-complete-list/;;;;;;;;;;
https://victoryseeds.com/blogs/articles/how-much-sunlight-do-my-plants-need;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
